GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0117
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0328
GridSearch: New best config found. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0933
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0381
GridSearch: New best config found. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0385
GridSearch: New best config found. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0385
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0048
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0463
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0737
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0502
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0738
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0504
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0736
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0504
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0736
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0342
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0370
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0056
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0404
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0380
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0061
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0414
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0381
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0061
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0415
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0381
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0061
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0290
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0360
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0369
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0370
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0492
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0679
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0043
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0562
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0679
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0572
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0679
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0573
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0679
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0475
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0350
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0044
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0515
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0363
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0051
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0044
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0519
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0366
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0051
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0044
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0519
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0366
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0051
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0044
