GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0949
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0945
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0542
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.0176
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0930
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0955
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0670
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.0311
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0944
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0952
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0865
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'batch_size': 1, 'learning_rate': 1e-05}, map value is 0.0393
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0926
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 5, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0933
