BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-09, 'epochs': 15} - results: {'AUC': 0.37217621381016591, 'precision': 0.22967303779699794, 'recall': 0.08493379791806864, 'map': 0.15820714451739445, 'NDCG': 0.11573914186099503, 'MRR': 0.42101374521208484}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-09, 'epochs': 10} - results: {'AUC': 0.37018105663333178, 'precision': 0.22760982319402298, 'recall': 0.08416182332122385, 'map': 0.15666639204901728, 'NDCG': 0.11480784863629362, 'MRR': 0.41811688683839493}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37298932095404436, 'precision': 0.22997105768409415, 'recall': 0.085560689399260995, 'map': 0.15793671773763179, 'NDCG': 0.11580341648271178, 'MRR': 0.42044015244861627}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37049865795531667, 'precision': 0.22769005931747244, 'recall': 0.084186689801744277, 'map': 0.15672642984277926, 'NDCG': 0.11478346010254381, 'MRR': 0.41846075593889093}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 10} - results: {'AUC': 0.37426092023191998, 'precision': 0.23189672464687153, 'recall': 0.086264856731171416, 'map': 0.1592582058948451, 'NDCG': 0.11667808735200831, 'MRR': 0.42274861258367868}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37447106245999978, 'precision': 0.23195403616362131, 'recall': 0.086268735957229697, 'map': 0.15937616414022157, 'NDCG': 0.116852664121086, 'MRR': 0.42292651708358819}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-06, 'epochs': 15} - results: {'AUC': 0.37210815638402589, 'precision': 0.22952116227761216, 'recall': 0.084846121991557652, 'map': 0.15810675384388867, 'NDCG': 0.11576508696351263, 'MRR': 0.42078545433703418}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37268127155151803, 'precision': 0.22995959538074423, 'recall': 0.08557689695020132, 'map': 0.15794157329668956, 'NDCG': 0.11593918835965118, 'MRR': 0.42037328901240856}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37321140308144929, 'precision': 0.23016305126520503, 'recall': 0.085654286892963352, 'map': 0.15803226877194571, 'NDCG': 0.11608353100944849, 'MRR': 0.42070975537532462}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.37455105978546294, 'precision': 0.23173911797581123, 'recall': 0.086191886454144023, 'map': 0.15927131590430191, 'NDCG': 0.11670804579273518, 'MRR': 0.42298239581241942}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-09, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37326035666867169, 'precision': 0.2299424019257201, 'recall': 0.085562523358221967, 'map': 0.15792921948085822, 'NDCG': 0.11600797977370872, 'MRR': 0.4208477806114953}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 10} - results: {'AUC': 0.37469792054713286, 'precision': 0.23185374100930942, 'recall': 0.086199822299539833, 'map': 0.15937499005012071, 'NDCG': 0.1166809884988808, 'MRR': 0.42308149697679759}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 15} - results: {'AUC': 0.37379884612812808, 'precision': 0.23174484912748619, 'recall': 0.08621749165227055, 'map': 0.15911422264891101, 'NDCG': 0.11670406591883274, 'MRR': 0.42242504131203207}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.37423465245340981, 'precision': 0.23192538040524599, 'recall': 0.08622378576599049, 'map': 0.15930538839700187, 'NDCG': 0.11660758665509337, 'MRR': 0.42279183501922785}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 10} - results: {'AUC': 0.37416540103733675, 'precision': 0.23192251482940848, 'recall': 0.086202341443224195, 'map': 0.15916766165831328, 'NDCG': 0.11654482881640585, 'MRR': 0.42256306654820336}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.37474329216455837, 'precision': 0.2317935639167229, 'recall': 0.086196951589063167, 'map': 0.15939434462692242, 'NDCG': 0.11672512116717745, 'MRR': 0.42340124748066293}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.001, 'epochs': 15} - results: {'AUC': 0.37437434927548541, 'precision': 0.2317419835516483, 'recall': 0.08607461615035461, 'map': 0.15935532503593505, 'NDCG': 0.11666266663875068, 'MRR': 0.42308842211840636}
BayesianSearch: Best config is: Config {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15}, map value is 0.1594
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 15} - results: {'AUC': 0.37595152817574212, 'precision': 0.23420057306595873, 'recall': 0.086079400359218461, 'map': 0.16063408150274591, 'NDCG': 0.11947300050257834, 'MRR': 0.42594603629415606}
