BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 500, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.31922822126531974, 'precision': 0.19254720105995948, 'recall': 0.041147135897619896, 'map': 0.12557906407566982, 'NDCG': 0.07943908055665763, 'MRR': 0.35626311140554173}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3939770343380803, 'precision': 0.2647896654521468, 'recall': 0.06861436067792688, 'map': 0.17708761179198457, 'NDCG': 0.1168004680607823, 'MRR': 0.4576791432041517}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 300, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.31579165286518696, 'precision': 0.21116263663465334, 'recall': 0.04220379814763485, 'map': 0.14149410216775285, 'NDCG': 0.07885030580316826, 'MRR': 0.3674671524787452}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.16111847190018763, 'precision': 0.11169261344816192, 'recall': 0.012856443865213455, 'map': 0.07300347797283874, 'NDCG': 0.0294290823615861, 'MRR': 0.18760075080048663}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.40265816495528306, 'precision': 0.2767472673070669, 'recall': 0.07592065170578022, 'map': 0.18411104670420675, 'NDCG': 0.12978889410974828, 'MRR': 0.47326653417246384}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.40897924257480384, 'precision': 0.27505796621398937, 'recall': 0.07534054558503331, 'map': 0.18391966618821579, 'NDCG': 0.12702178197884953, 'MRR': 0.47220934084133886}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3918654079717349, 'precision': 0.2574362371646346, 'recall': 0.07003271888974617, 'map': 0.17120675536417584, 'NDCG': 0.11653595993818351, 'MRR': 0.44843215192668645}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.39826929446836673, 'precision': 0.2714474991719215, 'recall': 0.0719760183846189, 'map': 0.18093146185271092, 'NDCG': 0.123784740037063, 'MRR': 0.4630534393286969}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 10, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.3507508004858125, 'precision': 0.21245445511759642, 'recall': 0.05115222105575825, 'map': 0.13975451768429678, 'NDCG': 0.09596335172359596, 'MRR': 0.3926079275698344}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.16113227337970623, 'precision': 0.11165948989731728, 'recall': 0.012842642385694854, 'map': 0.07298139560560898, 'NDCG': 0.029411658858033603, 'MRR': 0.18760075080048663}
