BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 65} - results: {'AUC': 0.33781881417687987, 'precision': 0.2025173898642006, 'recall': 0.0503361274328552, 'map': 0.12742468992676134, 'NDCG': 0.08625923097102788, 'MRR': 0.3648890361046701}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 50} - results: {'AUC': 0.33812244672628855, 'precision': 0.2036104670420744, 'recall': 0.05127824090805146, 'map': 0.1274733631445303, 'NDCG': 0.08682058079520802, 'MRR': 0.3652754775311907}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 35} - results: {'AUC': 0.3187865739207241, 'precision': 0.19894004637297813, 'recall': 0.047413595779851075, 'map': 0.12315170586286901, 'NDCG': 0.08042960449258937, 'MRR': 0.3483106989069215}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 65} - results: {'AUC': 0.3354725626587166, 'precision': 0.20291487247433668, 'recall': 0.05049860800502812, 'map': 0.1268833959000416, 'NDCG': 0.08603203171033859, 'MRR': 0.36238820801589866}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 40} - results: {'AUC': 0.33819145412388196, 'precision': 0.20410732030474424, 'recall': 0.05164572418818366, 'map': 0.12808384858856967, 'NDCG': 0.08743486263421828, 'MRR': 0.36573644694711227}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 15} - results: {'AUC': 0.3212846417135916, 'precision': 0.1946008612123285, 'recall': 0.0462649047261672, 'map': 0.1217914320415156, 'NDCG': 0.07938860051204957, 'MRR': 0.35091917853593824}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 20} - results: {'AUC': 0.32162967870155657, 'precision': 0.19894004637297796, 'recall': 0.047527979470599856, 'map': 0.12372699753413666, 'NDCG': 0.08110779758866533, 'MRR': 0.35248150601744416}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 60} - results: {'AUC': 0.33646626918405637, 'precision': 0.20811526995694762, 'recall': 0.05140253653704399, 'map': 0.12954330904273048, 'NDCG': 0.0871444188732652, 'MRR': 0.3663023076073747}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 65} - results: {'AUC': 0.3387573147841443, 'precision': 0.20327923153362804, 'recall': 0.050822839862559255, 'map': 0.1272673990651808, 'NDCG': 0.08649300204250396, 'MRR': 0.3645743623716458}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 20} - results: {'AUC': 0.32000110411836186, 'precision': 0.19629016230540602, 'recall': 0.04738329177762037, 'map': 0.12204436715616018, 'NDCG': 0.0798844764155341, 'MRR': 0.34682842000662345}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 65} - results: {'AUC': 0.3361902395936839, 'precision': 0.2029811195760262, 'recall': 0.05113613295347329, 'map': 0.12680748776268913, 'NDCG': 0.0863875139135412, 'MRR': 0.3622860770674607}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 70} - results: {'AUC': 0.33385778955504014, 'precision': 0.20877774097384044, 'recall': 0.05186369745032874, 'map': 0.1296324205954887, 'NDCG': 0.08761161274364439, 'MRR': 0.36588826322181645}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 65} - results: {'AUC': 0.3341338191454123, 'precision': 0.20221927790659897, 'recall': 0.05055600057835532, 'map': 0.12660736630966943, 'NDCG': 0.0857956597923001, 'MRR': 0.36150215303080435}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 30} - results: {'AUC': 0.3185519487689083, 'precision': 0.19900629347466756, 'recall': 0.047760246911092825, 'map': 0.12297228662912715, 'NDCG': 0.08065822154833634, 'MRR': 0.3485204813956046}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 65} - results: {'AUC': 0.33743237275035853, 'precision': 0.20407419675389932, 'recall': 0.051239962239071075, 'map': 0.12766718192190307, 'NDCG': 0.08698208527894781, 'MRR': 0.36457436237164575}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-06, 'epochs': 55} - results: {'AUC': 0.33740476979132117, 'precision': 0.20317986088109405, 'recall': 0.050905714562785254, 'map': 0.12768889624967905, 'NDCG': 0.08646251822117829, 'MRR': 0.36555702771337}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 50} - results: {'AUC': 0.33699072540576325, 'precision': 0.2080158993044137, 'recall': 0.051467534446365114, 'map': 0.1294987762688173, 'NDCG': 0.08729670553874368, 'MRR': 0.36517610687865687}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 70} - results: {'AUC': 0.3400408523793746, 'precision': 0.20215303080490976, 'recall': 0.050802746859455926, 'map': 0.12710109123698207, 'NDCG': 0.08649488319711095, 'MRR': 0.3643204151485033}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 25} - results: {'AUC': 0.31599867505796597, 'precision': 0.1949652202716196, 'recall': 0.04579673180354834, 'map': 0.12065133782341568, 'NDCG': 0.07755660196147278, 'MRR': 0.3449100143535376}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.0, 'epochs': 75} - results: {'AUC': 0.3378740200949542, 'precision': 0.2030804902285601, 'recall': 0.05070340797372511, 'map': 0.12739671892827012, 'NDCG': 0.08667455318822849, 'MRR': 0.3652754775311906}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 15} - results: {'AUC': 0.32048415590151236, 'precision': 0.1986750579662209, 'recall': 0.047698689461554075, 'map': 0.12272491811122241, 'NDCG': 0.08090424724054314, 'MRR': 0.34999723970409524}
