BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.24899943643675246, 'precision': 0.15960970857094336, 'recall': 0.04492854048040449, 'map': 0.10469795238686896, 'NDCG': 0.06955859507069198, 'MRR': 0.2819471110219732}
BayesianSearch: Testing config: {'topK': 100, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - Exception 'UserKNNCFRecommender' object has no attribute 'saveModel'
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 200, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.24899943643675246, 'precision': 0.15960970857094336, 'recall': 0.04492854048040449, 'map': 0.10469795238686896, 'NDCG': 0.06955859507069198, 'MRR': 0.2819471110219732}
BayesianSearch: New best config found. Config: {'topK': 50, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.2065638402536985, 'precision': 0.13134653408600727, 'recall': 0.03417703168597044, 'map': 0.08571369554212091, 'NDCG': 0.05380470237599349, 'MRR': 0.2327989034396704}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 100, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.33108385630092374, 'precision': 0.2153222340029668, 'recall': 0.0696155699592235, 'map': 0.14356877222813766, 'NDCG': 0.10797506319547577, 'MRR': 0.3785454337048972}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40668371684290183, 'precision': 0.2764363698886281, 'recall': 0.10109219859334759, 'map': 0.190283576588936, 'NDCG': 0.14688279523001233, 'MRR': 0.47501074590936393}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 500, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.27375442970264785, 'precision': 0.17884918474369435, 'recall': 0.05089740789000369, 'map': 0.11894920130034269, 'NDCG': 0.07557276248301774, 'MRR': 0.3130206990094728}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 50, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.3433031492678454, 'precision': 0.22573000544464153, 'recall': 0.07352855561041427, 'map': 0.15241622170645033, 'NDCG': 0.11012206627822592, 'MRR': 0.3943082499928267}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 0, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.2065638402536985, 'precision': 0.13134653408600727, 'recall': 0.03417703168597044, 'map': 0.08571369554212091, 'NDCG': 0.05380470237599349, 'MRR': 0.2327989034396704}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.2065638402536985, 'precision': 0.13134653408600727, 'recall': 0.03417703168597044, 'map': 0.08571369554212091, 'NDCG': 0.05380470237599349, 'MRR': 0.2327989034396704}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'shrink': 500, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.2735705552530774, 'precision': 0.17557669713730678, 'recall': 0.051554505288922435, 'map': 0.1159742520051117, 'NDCG': 0.07946813334733013, 'MRR': 0.31053481197047367}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 50, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.3433031492678454, 'precision': 0.22573000544464153, 'recall': 0.07352855561041427, 'map': 0.15241622170645033, 'NDCG': 0.11012206627822592, 'MRR': 0.3943082499928267}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3888216274560375, 'precision': 0.268040232684838, 'recall': 0.09312014512477493, 'map': 0.18511633839908015, 'NDCG': 0.1351937706909218, 'MRR': 0.4551410818503726}
