BayesianSearch: Testing config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001} - Exception No module named 'Base'
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 35} - results: {'AUC': 0.32970354421994036, 'precision': 0.19976813514409497, 'recall': 0.047163336867788515, 'map': 0.12971987597070495, 'NDCG': 0.08501967426523493, 'MRR': 0.3687506900739752}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 275} - results: {'AUC': 0.34245611129513015, 'precision': 0.20765154024512256, 'recall': 0.050162658866512846, 'map': 0.13494585219535646, 'NDCG': 0.09035874980605328, 'MRR': 0.3819945898200284}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 60} - results: {'AUC': 0.33944738876007474, 'precision': 0.20496853262670567, 'recall': 0.04944080424736089, 'map': 0.13269046041735796, 'NDCG': 0.08848824942956175, 'MRR': 0.377034338081042}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 150} - results: {'AUC': 0.3370873357623934, 'precision': 0.20175554819477431, 'recall': 0.047734836199431696, 'map': 0.13229785432998517, 'NDCG': 0.08648262458230126, 'MRR': 0.3763387435133045}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 40} - results: {'AUC': 0.33505851827315825, 'precision': 0.20427293805896798, 'recall': 0.048716803645203914, 'map': 0.13166123808472366, 'NDCG': 0.08759629550709153, 'MRR': 0.3737330241801917}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 15} - results: {'AUC': 0.33474108424423077, 'precision': 0.20228552500828892, 'recall': 0.04839988937868458, 'map': 0.13052496227595703, 'NDCG': 0.08669292224394037, 'MRR': 0.37241360273821345}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 150} - results: {'AUC': 0.3299933752898313, 'precision': 0.20006624710169657, 'recall': 0.046415781142638335, 'map': 0.1310380552795266, 'NDCG': 0.08408358737469813, 'MRR': 0.3695870597328028}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 195} - results: {'AUC': 0.3418902506348675, 'precision': 0.2064590924147148, 'recall': 0.04955788517483769, 'map': 0.13475180339332485, 'NDCG': 0.0893776831742695, 'MRR': 0.38115545986529714}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 155} - results: {'AUC': 0.33453406205145164, 'precision': 0.19960251738987184, 'recall': 0.04690258412576012, 'map': 0.1316760976776719, 'NDCG': 0.0847350159192161, 'MRR': 0.3707877884509214}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 175} - results: {'AUC': 0.3334851496080382, 'precision': 0.20099370652534723, 'recall': 0.04735115219636196, 'map': 0.1318326524603443, 'NDCG': 0.08496392498563826, 'MRR': 0.37229214971844976}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 175} - results: {'AUC': 0.3399994479408193, 'precision': 0.20559788009275398, 'recall': 0.04955650660649871, 'map': 0.13354537006367206, 'NDCG': 0.08892661495672236, 'MRR': 0.3792370542122112}
BayesianSearch: New best config found. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 290} - results: {'AUC': 0.34471955393618164, 'precision': 0.20854587611792832, 'recall': 0.050808457258250804, 'map': 0.13555247322513087, 'NDCG': 0.09086006689203904, 'MRR': 0.38295517279452335}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 260} - results: {'AUC': 0.34707960693386314, 'precision': 0.20814839350779238, 'recall': 0.050617450078392676, 'map': 0.13542766184535093, 'NDCG': 0.09103305628500866, 'MRR': 0.3845506238268742}
