GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0898
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0888
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0898
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0888
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0568
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0568
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0025
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0025
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0018
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0018
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0003
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 5, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0012
GridSearch: New best config found. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0907
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0012
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0907
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0023
GridSearch: New best config found. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0911
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0023
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0911
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0026
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0278
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0026
