GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1360
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.1406
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1343
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1423
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1324
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.1446
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1291
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1473
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.1237
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.1228
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.1206
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.1000000000000003, 'normalize_similarity': False}, map value is 0.0568
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.1175
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0254
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.1157
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0166
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.1115
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0125
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.1067
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0109
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1371
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.1364
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1365
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1416
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1340
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.1463
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1252
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1498
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.90000000000000013, 'normalize_similarity': True}, map value is 0.1184
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.90000000000000013, 'normalize_similarity': False}, map value is 0.1346
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.1000000000000003, 'normalize_similarity': True}, map value is 0.1120
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.1000000000000003, 'normalize_similarity': False}, map value is 0.0625
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.1108
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0300
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.5000000000000004, 'normalize_similarity': True}, map value is 0.1085
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.5000000000000004, 'normalize_similarity': False}, map value is 0.0186
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.7000000000000004, 'normalize_similarity': True}, map value is 0.1070
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.7000000000000004, 'normalize_similarity': False}, map value is 0.0151
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.9000000000000004, 'normalize_similarity': True}, map value is 0.1067
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.9000000000000004, 'normalize_similarity': False}, map value is 0.0132
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1400
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.1338
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1397
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1394
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.50000000000000011, 'normalize_similarity': True}, map value is 0.1366
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.50000000000000011, 'normalize_similarity': False}, map value is 0.1436
