GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0073
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0515
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0029
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0492
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0485
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0031
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0480
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0428
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0632
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0368
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0812
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0404
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0821
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0406
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0822
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0323
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0594
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0094
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0589
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0149
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0620
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0000
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 50, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0000
