BayesianSearch: New best config found. Config: {'topK': 200, 'alpha': 0.50000000000000011, 'beta': 1.5000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.00016575501408917621, 'precision': 0.00013260401127134096, 'recall': 3.6704053322330214e-05, 'map': 3.4256036245096414e-05, 'NDCG': 7.8463071307944508e-06, 'MRR': 0.00017128018122548205, 'F1': 5.7494068131236671e-05, 'HR': 0.00066302005635670484, 'ARHR': 0.00017128018122548205}
BayesianSearch: New best config found. Config: {'topK': 150, 'alpha': 0.90000000000000013, 'beta': 1.1000000000000003, 'normalize_similarity': False} - results: {'AUC': 0.00066302005635670484, 'precision': 0.00029835902536051712, 'recall': 7.6344805880640363e-05, 'map': 0.00013205149455771038, 'NDCG': 4.6179854395490134e-05, 'MRR': 0.00066025747278855183, 'F1': 0.00012157955150037322, 'HR': 0.0014917951268025858, 'ARHR': 0.00066025747278855183}
BayesianSearch: New best config found. Config: {'topK': 200, 'alpha': 0.50000000000000011, 'beta': 0.30000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.40180396707000404, 'precision': 0.25804740593404007, 'recall': 0.068467258788066213, 'map': 0.17584553474409265, 'NDCG': 0.12364033704578659, 'MRR': 0.46263881982430033, 'F1': 0.10822055135999481, 'HR': 1.2902370296701475, 'ARHR': 0.63703795789822393}
BayesianSearch: Config is suboptimal. Config: {'topK': 300, 'alpha': 1.1000000000000003, 'beta': 0.50000000000000011, 'normalize_similarity': False} - results: {'AUC': 0.36558649649151892, 'precision': 0.23278634178684965, 'recall': 0.064058713101500533, 'map': 0.15174586072895416, 'NDCG': 0.10446514742416778, 'MRR': 0.41355599756892641, 'F1': 0.10046987973628443, 'HR': 1.1639317089341952, 'ARHR': 0.55860544781479404}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.50000000000000011, 'beta': 0.30000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.39964915188684469, 'precision': 0.25755014089177286, 'recall': 0.068216328114953928, 'map': 0.17496196843287878, 'NDCG': 0.12336015054003144, 'MRR': 0.45874633957677319, 'F1': 0.10786331061446967, 'HR': 1.2877507044588099, 'ARHR': 0.63266202552627171}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.10000000000000001, 'beta': 0.10000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.38720371291231592, 'precision': 0.252743245483186, 'recall': 0.064413710348274977, 'map': 0.16995860728953771, 'NDCG': 0.11459299914147375, 'MRR': 0.44443339411017252, 'F1': 0.10266292387853701, 'HR': 1.2637162274158793, 'ARHR': 0.61371346483230893}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.70000000000000007, 'beta': 0.10000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.38817061716116968, 'precision': 0.2388198242996947, 'recall': 0.061107640640790134, 'map': 0.16231191410206958, 'NDCG': 0.11308752439205871, 'MRR': 0.43984474280347075, 'F1': 0.097314969164949541, 'HR': 1.1940991214984253, 'ARHR': 0.59619039725951561}
BayesianSearch: New best config found. Config: {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.40702525001381262, 'precision': 0.26295375435107998, 'recall': 0.06980886846427671, 'map': 0.1781397222682663, 'NDCG': 0.12274315417539677, 'MRR': 0.46700370186198131, 'F1': 0.11032792021156732, 'HR': 1.3147687717553456, 'ARHR': 0.64441405602519275}
BayesianSearch: New best config found. Config: {'topK': 500, 'alpha': 1.5000000000000004, 'beta': 0.10000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.40880711641527206, 'precision': 0.26527432454832944, 'recall': 0.071912067603372778, 'map': 0.17959753761718039, 'NDCG': 0.12814993802394756, 'MRR': 0.4712746560583464, 'F1': 0.11315062294551863, 'HR': 1.326371622741588, 'ARHR': 0.64970992872534183}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.10000000000000001, 'beta': 0.90000000000000013, 'normalize_similarity': False} - results: {'AUC': 0.0072103431128791671, 'precision': 0.0050058014254931102, 'recall': 0.0019563902022284962, 'map': 0.0016752306757279397, 'NDCG': 0.0017450656052589288, 'MRR': 0.0074009613790817228, 'F1': 0.0028132810433260194, 'HR': 0.025029007127465606, 'ARHR': 0.0078540250842588089}
BayesianSearch: New best config found. Config: {'topK': 200, 'alpha': 0.90000000000000013, 'beta': 0.10000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.40612741035416311, 'precision': 0.27485496436268303, 'recall': 0.075054428350897942, 'map': 0.186028187561007, 'NDCG': 0.13062064514122471, 'MRR': 0.47426100889551998, 'F1': 0.11791099444154433, 'HR': 1.3742748218133598, 'ARHR': 0.66406431294546242}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.10000000000000001, 'beta': 1.5000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.00024863252113376428, 'precision': 6.6302005635670482e-05, 'recall': 3.5939883861984749e-06, 'map': 4.4201337090446986e-05, 'NDCG': 4.9808121968808503e-06, 'MRR': 0.00022100668545223492, 'F1': 6.8183775499840553e-06, 'HR': 0.00033151002817835242, 'ARHR': 0.00022100668545223492}
