BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 1e-06, 'epochs': 8} - results: {'AUC': 0.37515264699428663, 'precision': 0.22986633847568633, 'recall': 0.08542317325244192, 'map': 0.15764687900503532, 'NDCG': 0.11691854569370215, 'MRR': 0.42301344247591627, 'F1': 0.12455797815085524, 'HR': 1.1493316923781447, 'ARHR': 0.5728996727629814}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-09, 'epochs': 8} - results: {'AUC': 0.3753076790978573, 'precision': 0.23119150519482645, 'recall': 0.08585172117175348, 'map': 0.15850207981533712, 'NDCG': 0.11753417491990578, 'MRR': 0.42442685823862675, 'F1': 0.1252080914563672, 'HR': 1.1559575259738402, 'ARHR': 0.5754882318707563}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 8} - results: {'AUC': 0.37653720293464044, 'precision': 0.23113998683425493, 'recall': 0.08577290196255591, 'map': 0.1586655631561428, 'NDCG': 0.11766983529433839, 'MRR': 0.4249606456967675, 'F1': 0.12511670008519085, 'HR': 1.1556999341709837, 'ARHR': 0.5761605941784019}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 8} - results: {'AUC': 0.3758180924849995, 'precision': 0.23116574601454049, 'recall': 0.08591020094628204, 'map': 0.15858202072822997, 'NDCG': 0.11765828597839009, 'MRR': 0.4246231527328393, 'F1': 0.12526649140283216, 'HR': 1.155828730072412, 'ARHR': 0.5757131476763999}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 0.001, 'epochs': 8} - results: {'AUC': 0.3755700411192859, 'precision': 0.2301496894588289, 'recall': 0.08546800072558523, 'map': 0.1579586922923199, 'NDCG': 0.1171911279938288, 'MRR': 0.4236734022152701, 'F1': 0.12464721995884989, 'HR': 1.150748447293855, 'ARHR': 0.5739965845234762}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 8} - results: {'AUC': 0.3755962773214293, 'precision': 0.2312974040471108, 'recall': 0.08589543238274562, 'map': 0.15850429796697152, 'NDCG': 0.11753465530391996, 'MRR': 0.4245702033066972, 'F1': 0.12527010857653242, 'HR': 1.1564870202352673, 'ARHR': 0.5756172662831173}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.001, 'epochs': 10} - results: {'AUC': 0.37260535027715036, 'precision': 0.22767108388912008, 'recall': 0.08396027833353929, 'map': 0.15624209733793837, 'NDCG': 0.11591854305726491, 'MRR': 0.4202691357317822, 'F1': 0.12267910030294879, 'HR': 1.138355419445319, 'ARHR': 0.5686296116087755}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 1e-09, 'epochs': 8} - results: {'AUC': 0.3752325481553585, 'precision': 0.23014968945882858, 'recall': 0.08551640729424534, 'map': 0.1577891865505678, 'NDCG': 0.11702742530610896, 'MRR': 0.4232340650848442, 'F1': 0.12469869133777105, 'HR': 1.150748447293855, 'ARHR': 0.5732941698388375}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 1e-06, 'lambda_j': 0.0, 'epochs': 8} - results: {'AUC': 0.3751514544396433, 'precision': 0.23018975929482846, 'recall': 0.08553471062935547, 'map': 0.15782940346830526, 'NDCG': 0.11719079444228486, 'MRR': 0.423369300781343, 'F1': 0.1247240320387722, 'HR': 1.1509487964738545, 'ARHR': 0.5735276720379071}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 1e-06, 'epochs': 10} - results: {'AUC': 0.37347472261179177, 'precision': 0.22895045650997473, 'recall': 0.08437405674530045, 'map': 0.15717635259551627, 'NDCG': 0.11643818189172978, 'MRR': 0.42189816537392033, 'F1': 0.1233065272087186, 'HR': 1.1447522825495864, 'ARHR': 0.5713164372191264}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_i': 0.0, 'lambda_j': 0.001, 'epochs': 6} - results: {'AUC': 0.36355624564717465, 'precision': 0.22143736225999014, 'recall': 0.0813448027281759, 'map': 0.1516345352694424, 'NDCG': 0.11299379938910105, 'MRR': 0.4103425493955994, 'F1': 0.11898176730713671, 'HR': 1.1071868112996937, 'ARHR': 0.5532458952268929}
BayesianSearch: Best config is: Config {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 8}, map value is 0.1587
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_i': 0.001, 'lambda_j': 0.0, 'epochs': 8} - results: {'AUC': 0.37809348674356463, 'precision': 0.23342110535510388, 'recall': 0.08595762568220594, 'map': 0.16000756874683714, 'NDCG': 0.12002943793876086, 'MRR': 0.42687135674554905, 'F1': 0.12564596230484026, 'HR': 1.1671055267752368, 'ARHR': 0.5803810450594586}
