BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.3273649594178559, 'precision': 0.20573467674219895, 'recall': 0.05299156514403296, 'map': 0.13475026821531222, 'NDCG': 0.07241716001652805, 'MRR': 0.3679457038902769, 'F1': 0.08427597019528275, 'HR': 1.028673383711167, 'ARHR': 0.495139938427127}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.7000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.33893087041701675, 'precision': 0.2199160369437054, 'recall': 0.05668671037272044, 'map': 0.14574391267841527, 'NDCG': 0.08273256704672889, 'MRR': 0.38637279596976853, 'F1': 0.09013877709814065, 'HR': 1.0995801847187237, 'ARHR': 0.5279925832634123}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.9000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.2883641197872935, 'precision': 0.17115029387067948, 'recall': 0.04581851300053208, 'map': 0.1121600545759825, 'NDCG': 0.062294384847690024, 'MRR': 0.31899804086200567, 'F1': 0.07228552415291091, 'HR': 0.8557514693534845, 'ARHR': 0.4192800167926181}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.9000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.2825706689056819, 'precision': 0.17541561712844234, 'recall': 0.04892604665253195, 'map': 0.11149262990950246, 'NDCG': 0.06585273827826844, 'MRR': 0.3139133781136138, 'F1': 0.07651180367092116, 'HR': 0.8770780856423174, 'ARHR': 0.4140757066890594}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.7000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.3251399384270922, 'precision': 0.19816120906798051, 'recall': 0.05376012084869406, 'map': 0.1311746198339344, 'NDCG': 0.07410303619164611, 'MRR': 0.3629478029666834, 'F1': 0.08457537557888886, 'HR': 0.9908060453400503, 'ARHR': 0.48409459837674385}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.9000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.32377553876294385, 'precision': 0.2092779177161683, 'recall': 0.053098164853419685, 'map': 0.13697222222221572, 'NDCG': 0.07958632345378007, 'MRR': 0.36766232857541653, 'F1': 0.08470492635033745, 'HR': 1.0463895885810244, 'ARHR': 0.4985152532885914}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.7000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.31947593059053936, 'precision': 0.1976322418135693, 'recall': 0.04936049912910138, 'map': 0.1296781532792175, 'NDCG': 0.07284191677883303, 'MRR': 0.35947453120625616, 'F1': 0.07899200650747319, 'HR': 0.9881612090680101, 'ARHR': 0.47939896445567043}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.9000000000000004, 'normalize_similarity': False} - results: {'AUC': 0.07887979289112786, 'precision': 0.034643157010916796, 'recall': 0.005330387457989132, 'map': 0.019293287620114005, 'NDCG': 0.009262666442924344, 'MRR': 0.07726000559753704, 'F1': 0.009239183169247404, 'HR': 0.173215785054576, 'ARHR': 0.08570249090400223}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.3000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.3146410579345084, 'precision': 0.19167086481945217, 'recall': 0.05279983648982995, 'map': 0.12628181266908686, 'NDCG': 0.07262814509733478, 'MRR': 0.3504904841869432, 'F1': 0.08279266405448095, 'HR': 0.9583543240973972, 'ARHR': 0.4661859781696282}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'alpha': 0.7000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.3378288553036661, 'precision': 0.22005877413933908, 'recall': 0.05600126244857715, 'map': 0.14559192788505762, 'NDCG': 0.08221325733367839, 'MRR': 0.38525468793730294, 'F1': 0.08928180490742368, 'HR': 1.1002938706968934, 'ARHR': 0.5266764623566114}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'alpha': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.32791771620487004, 'precision': 0.20724601175479299, 'recall': 0.051814429988499285, 'map': 0.13598842009515166, 'NDCG': 0.07332676517719768, 'MRR': 0.3692268401903071, 'F1': 0.08290215128333049, 'HR': 1.0362300587741393, 'ARHR': 0.4986544920235481}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.31260845228099526, 'precision': 0.19112510495379226, 'recall': 0.049721520181206486, 'map': 0.12557892527287473, 'NDCG': 0.06818245378231312, 'MRR': 0.3482227819759142, 'F1': 0.07891354722341302, 'HR': 0.9556255247691016, 'ARHR': 0.4642625244892466}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.1000000000000003, 'normalize_similarity': True} - results: {'AUC': 0.3192765183319337, 'precision': 0.19476910159526944, 'recall': 0.05338386163822817, 'map': 0.12864834639424738, 'NDCG': 0.0739754871490191, 'MRR': 0.3562776378393377, 'F1': 0.08379933598600954, 'HR': 0.9738455079764904, 'ARHR': 0.47475370836834624}
BayesianSearch: Best config is: Config {'topK': 50, 'alpha': 0.5000000000000001, 'normalize_similarity': False}, map value is 0.1458
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 50, 'alpha': 0.5000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.3363315141337818, 'precision': 0.2196893366918166, 'recall': 0.05562481344566362, 'map': 0.14731828995241558, 'NDCG': 0.08111918262042978, 'MRR': 0.3857073887489473, 'F1': 0.0887726138549845, 'HR': 1.0984466834592779, 'ARHR': 0.5306234256927432}
