BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 132, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.01, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23777987685418425, 'precision': 0.13632241813600995, 'recall': 0.03322707462160474, 'map': 0.08671731271573571, 'NDCG': 0.039116135691326305, 'MRR': 0.25586342009514845, 'F1': 0.0534309491149967, 'HR': 0.6816120906801008, 'ARHR': 0.33100685698290805}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 50, 'epochs': 80, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.01, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.237258606213266, 'precision': 0.1361293031066229, 'recall': 0.03295715963803826, 'map': 0.0860262151320065, 'NDCG': 0.038993632913850634, 'MRR': 0.25803316540721105, 'F1': 0.053066757693960055, 'HR': 0.6806465155331654, 'ARHR': 0.33116638678979404}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 182, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.0, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2341659669745315, 'precision': 0.13611251049537232, 'recall': 0.03350219043750879, 'map': 0.08644422287526592, 'NDCG': 0.038710747084479045, 'MRR': 0.25720612930309655, 'F1': 0.05376971715851279, 'HR': 0.6805625524769101, 'ARHR': 0.3311544920234908}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 50, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.01, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2348726560313461, 'precision': 0.13842149454238994, 'recall': 0.03360464352539761, 'map': 0.08592437494168961, 'NDCG': 0.039355180220982, 'MRR': 0.2569423453680276, 'F1': 0.05408021167709761, 'HR': 0.6921074727120067, 'ARHR': 0.3302966694654147}
BayesianSearch: New best config found. Config: {'num_factors': 5, 'epochs': 376, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23881542121466567, 'precision': 0.1376490344248432, 'recall': 0.03436488550036775, 'map': 0.08781971265976048, 'NDCG': 0.039167769364493614, 'MRR': 0.2576028547439034, 'F1': 0.054998959494703396, 'HR': 0.6882451721242653, 'ARHR': 0.3341064931429979}
ParameterSearch: Best result evaluated on URM_test. Config: {'num_factors': 5, 'epochs': 376, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23650293870696878, 'precision': 0.13989084802685575, 'recall': 0.03403400447718192, 'map': 0.08874497387815725, 'NDCG': 0.039785037471732315, 'MRR': 0.2603960257486603, 'F1': 0.0547483085886447, 'HR': 0.6994542401343409, 'ARHR': 0.3374349286313813}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 252, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2317555275678701, 'precision': 0.1372376154491919, 'recall': 0.0337600046772087, 'map': 0.08518446216997595, 'NDCG': 0.038896383868392476, 'MRR': 0.2545417016512636, 'F1': 0.054189555808190674, 'HR': 0.6861880772460117, 'ARHR': 0.32704450041979694}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 170, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.01, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23611810803246588, 'precision': 0.137002518891678, 'recall': 0.033705629575536675, 'map': 0.086466624685136, 'NDCG': 0.03879360546253146, 'MRR': 0.2558249370276982, 'F1': 0.05410118022064104, 'HR': 0.6850125944584383, 'ARHR': 0.33058284354881967}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 242, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 1e-05, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23527847746991365, 'precision': 0.13549958018470906, 'recall': 0.033142184647675196, 'map': 0.08580087927978093, 'NDCG': 0.039021058378936005, 'MRR': 0.2543716764623484, 'F1': 0.05325788793336608, 'HR': 0.6774979009235936, 'ARHR': 0.32829205149732427}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 86, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 1e-06, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23296249650153955, 'precision': 0.13654911838789915, 'recall': 0.03318024158816005, 'map': 0.08549328295549727, 'NDCG': 0.038923815670974984, 'MRR': 0.2555583543240877, 'F1': 0.053387731355374626, 'HR': 0.6827455919395466, 'ARHR': 0.32844528407498796}
