BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.33606428346546807, 'precision': 0.20513752540145963, 'recall': 0.06775681222082888, 'map': 0.13622186366081468, 'NDCG': 0.10724108977224618, 'MRR': 0.37750555730463, 'F1': 0.10186700764242594, 'HR': 1.0256876270070694, 'ARHR': 0.5041121669194637}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38497333447818655, 'precision': 0.2568791322019145, 'recall': 0.08841661950370346, 'map': 0.17551856251057968, 'NDCG': 0.1244283519037379, 'MRR': 0.4453480828491333, 'F1': 0.13155322287139906, 'HR': 1.2843956610091873, 'ARHR': 0.6230232214239674}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38497452703283036, 'precision': 0.25694782334934346, 'recall': 0.08848064213706898, 'map': 0.17546037776955348, 'NDCG': 0.12439257509258816, 'MRR': 0.4454408636003467, 'F1': 0.13163309152103658, 'HR': 1.2847391167463293, 'ARHR': 0.622990545426754}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38464418939675865, 'precision': 0.256790406136486, 'recall': 0.0884695524933854, 'map': 0.17533729420486344, 'NDCG': 0.1242390757996806, 'MRR': 0.44491518551377696, 'F1': 0.13160015662195046, 'HR': 1.2839520306820458, 'ARHR': 0.6224200272856111}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 300, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.33606428346546807, 'precision': 0.20513752540145963, 'recall': 0.06775681222082888, 'map': 0.13622186366081468, 'NDCG': 0.10724108977224618, 'MRR': 0.37750555730463, 'F1': 0.10186700764242594, 'HR': 1.0256876270070694, 'ARHR': 0.5041121669194637}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38525716248318576, 'precision': 0.25673316351362974, 'recall': 0.08838677487163653, 'map': 0.1753866699422609, 'NDCG': 0.12430693891946541, 'MRR': 0.4452722363738474, 'F1': 0.1315010452988131, 'HR': 1.2836658175677609, 'ARHR': 0.6227453561921843}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38186911474283447, 'precision': 0.25343885056820803, 'recall': 0.0872289615048847, 'map': 0.17240186070330213, 'NDCG': 0.12177904659265379, 'MRR': 0.44063415285686297, 'F1': 0.12978747599032447, 'HR': 1.2671942528406652, 'ARHR': 0.6138007193489222}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.33606428346546807, 'precision': 0.20513752540145963, 'recall': 0.06775681222082888, 'map': 0.13622186366081468, 'NDCG': 0.10724108977224618, 'MRR': 0.37750555730463, 'F1': 0.10186700764242594, 'HR': 1.0256876270070694, 'ARHR': 0.5041121669194637}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3872177223160367, 'precision': 0.25741435072562724, 'recall': 0.08961766102247366, 'map': 0.17639621514962173, 'NDCG': 0.1272690047229639, 'MRR': 0.44791493746241295, 'F1': 0.13294953344185634, 'HR': 1.2870717536277512, 'ARHR': 0.6260766383315325}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38525716248318576, 'precision': 0.25673316351362974, 'recall': 0.08838677487163653, 'map': 0.1753866699422609, 'NDCG': 0.12430693891946541, 'MRR': 0.4452722363738474, 'F1': 0.1315010452988131, 'HR': 1.2836658175677609, 'ARHR': 0.6227453561921843}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3848016066096146, 'precision': 0.2567388877759148, 'recall': 0.08845787038903206, 'map': 0.17534177025995681, 'NDCG': 0.12432554466885976, 'MRR': 0.44511577320470536, 'F1': 0.13158046662682865, 'HR': 1.2836944388791895, 'ARHR': 0.6225428604138264}
BayesianSearch: New best config found. Config: {'topK': 500, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3872415734088933, 'precision': 0.2574572826927698, 'recall': 0.08958407457483382, 'map': 0.17645416933008204, 'NDCG': 0.1273205366982974, 'MRR': 0.44797361115084133, 'F1': 0.13291829304827465, 'HR': 1.287286413463465, 'ARHR': 0.6262030491236762}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38891711268210327, 'precision': 0.2588654512150549, 'recall': 0.08978360111481073, 'map': 0.17818443493585237, 'NDCG': 0.12753328567231959, 'MRR': 0.4508135607773321, 'F1': 0.13332531529331831, 'HR': 1.2943272560748733, 'ARHR': 0.6310345650037319}
BayesianSearch: Best config is: Config {'topK': 500, 'shrink': 100, 'similarity': 'cosine', 'normalize': True}, map value is 0.1765
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.38891711268210327, 'precision': 0.2588654512150549, 'recall': 0.08978360111481073, 'map': 0.17818443493585237, 'NDCG': 0.12753328567231959, 'MRR': 0.4508135607773321, 'F1': 0.13332531529331831, 'HR': 1.2943272560748733, 'ARHR': 0.6310345650037319}
