BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.3376504338091236, 'precision': 0.22507976490340126, 'recall': 0.056056771458586556, 'map': 0.15066849752774966, 'NDCG': 0.08305743494980396, 'MRR': 0.38829485026587696, 'F1': 0.08975884176716578, 'HR': 1.1253988245172124, 'ARHR': 0.5378722362161131}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.340316260845228, 'precision': 0.228933669185515, 'recall': 0.05599810569031256, 'map': 0.15249315467860355, 'NDCG': 0.085350936656601, 'MRR': 0.393573327735794, 'F1': 0.08998541358687269, 'HR': 1.1446683459277918, 'ARHR': 0.5451630282676148}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33672334172963836, 'precision': 0.23015952980684234, 'recall': 0.05683339525494336, 'map': 0.15407952001118974, 'NDCG': 0.08512383335707938, 'MRR': 0.3923404701931111, 'F1': 0.09115728219703034, 'HR': 1.150797649034425, 'ARHR': 0.547334172963954}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 0, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.304834872656031, 'precision': 0.18187237615446605, 'recall': 0.046014801944103595, 'map': 0.12098523649593636, 'NDCG': 0.07974261056979193, 'MRR': 0.3370759865658937, 'F1': 0.07344705777375013, 'HR': 0.9093618807724602, 'ARHR': 0.44733347327178047}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31436467954100233, 'precision': 0.1929890848026551, 'recall': 0.04639482110069204, 'map': 0.12665064371675872, 'NDCG': 0.07464430913527109, 'MRR': 0.35120836831792457, 'F1': 0.07480614897661986, 'HR': 0.9649454240134341, 'ARHR': 0.468151413378144}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 100, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3413273159809677, 'precision': 0.22846347607048587, 'recall': 0.055953823798216, 'map': 0.15226163821251526, 'NDCG': 0.08528342858986346, 'MRR': 0.3934368877693791, 'F1': 0.0898918953964982, 'HR': 1.1423173803526447, 'ARHR': 0.5446508536244575}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3257241813602009, 'precision': 0.2115785054575604, 'recall': 0.05160938614151138, 'map': 0.14171080557887145, 'NDCG': 0.0821031956252981, 'MRR': 0.37194024629162237, 'F1': 0.08297826105189725, 'HR': 1.0578925272879933, 'ARHR': 0.5097858942065946}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33372865938986757, 'precision': 0.2256759026028118, 'recall': 0.055036354180377514, 'map': 0.15032326942811172, 'NDCG': 0.08400244883882405, 'MRR': 0.38599916036943194, 'F1': 0.08849188879713024, 'HR': 1.1283795130142737, 'ARHR': 0.5356808004478556}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.2605828435488388, 'precision': 0.15496221662466383, 'recall': 0.03163332480321507, 'map': 0.0986315771060684, 'NDCG': 0.05600111843735323, 'MRR': 0.2862874335292323, 'F1': 0.05254112818776891, 'HR': 0.7748110831234257, 'ARHR': 0.3728834312902226}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
