BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.37608641727963943, 'precision': 0.24836142992078977, 'recall': 0.08646942291307025, 'map': 0.16894925202976938, 'NDCG': 0.11629195485847026, 'MRR': 0.4338363528816701, 'F1': 0.1282777219444091, 'HR': 1.2418071496035947, 'ARHR': 0.6026529570584587}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 300, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.37656224658213927, 'precision': 0.24856177910078842, 'recall': 0.08664592542261146, 'map': 0.16922695030390728, 'NDCG': 0.11673991052862748, 'MRR': 0.43418100117345426, 'F1': 0.12849862985995367, 'HR': 1.242808895503592, 'ARHR': 0.6032752320710975}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 50, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.3173841075398063, 'precision': 0.1796674203612265, 'recall': 0.05448690569482169, 'map': 0.11737421728663996, 'NDCG': 0.09554254943206478, 'MRR': 0.3439542249825896, 'F1': 0.08361598057608187, 'HR': 0.8983371018060048, 'ARHR': 0.44705772918513326}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31294541915910606, 'precision': 0.19131056985034567, 'recall': 0.06002922454606903, 'map': 0.12555718935542887, 'NDCG': 0.098072589109998, 'MRR': 0.35182961733306706, 'F1': 0.09138405785014554, 'HR': 0.9565528492515527, 'ARHR': 0.4671775570756481}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.3129478042683918, 'precision': 0.19131056985034567, 'recall': 0.06002922454606903, 'map': 0.1255586204210003, 'NDCG': 0.09807363467772279, 'MRR': 0.35183677266092417, 'F1': 0.09138405785014554, 'HR': 0.9565528492515527, 'ARHR': 0.46718471240350523}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'adjusted', 'normalize': True} - results: {'AUC': 0.34815440243471707, 'precision': 0.21154297489915555, 'recall': 0.06601404343689768, 'map': 0.14092594315174148, 'NDCG': 0.11224954734719553, 'MRR': 0.38870340689009425, 'F1': 0.10062658272870957, 'HR': 1.0577148744955494, 'ARHR': 0.5212303347739091}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.37907853687855936, 'precision': 0.24824694467507358, 'recall': 0.08748041074270523, 'map': 0.16927045867245735, 'NDCG': 0.1177752537607757, 'MRR': 0.43534898919066445, 'F1': 0.1293713147608884, 'HR': 1.241234723375025, 'ARHR': 0.604307745880879}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 100, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.37643106557142586, 'precision': 0.24858753828107416, 'recall': 0.08656475491724368, 'map': 0.16911094256342998, 'NDCG': 0.11658913458001914, 'MRR': 0.434004264575384, 'F1': 0.12841278286613925, 'HR': 1.24293769140502, 'ARHR': 0.603067012030453}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.37628676645963943, 'precision': 0.2484158104125041, 'recall': 0.08647750069917255, 'map': 0.16898198765471584, 'NDCG': 0.11628975436622448, 'MRR': 0.4339045670072415, 'F1': 0.12829386378200386, 'HR': 1.2420790520621654, 'ARHR': 0.6027569478233166}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'adjusted', 'normalize': False} - results: {'AUC': 0.3117719453905385, 'precision': 0.17542574200752195, 'recall': 0.052732849467706885, 'map': 0.11424178170844107, 'NDCG': 0.09318695076984843, 'MRR': 0.3364032074949702, 'F1': 0.08109008024839412, 'HR': 0.8771287100374939, 'ARHR': 0.43613273610195147}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 200, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31294541915910606, 'precision': 0.19131056985034567, 'recall': 0.06002922454606903, 'map': 0.12555718935542887, 'NDCG': 0.098072589109998, 'MRR': 0.35182961733306706, 'F1': 0.09138405785014554, 'HR': 0.9565528492515527, 'ARHR': 0.4671775570756481}
BayesianSearch: Best config is: Config {'topK': 500, 'shrink': 200, 'similarity': 'jaccard', 'normalize': False}, map value is 0.1694
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'shrink': 200, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.38069802608355535, 'precision': 0.24896820172307405, 'recall': 0.08779528822864524, 'map': 0.1706871102334338, 'NDCG': 0.11768486138178276, 'MRR': 0.4372728183405144, 'F1': 0.1298135675763339, 'HR': 1.2448410086150148, 'ARHR': 0.6075672362307313}
