BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 1.5000000000000004, 'beta': 0.9000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.11508987091788564, 'precision': 0.08023126019632748, 'recall': 0.04373332501583779, 'map': 0.049013681781897765, 'NDCG': 0.04852531359907827, 'MRR': 0.1310059436923371, 'F1': 0.056609390054279875, 'HR': 0.40115630098171096, 'ARHR': 0.17654125762044134}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.1, 'beta': 0.7000000000000001, 'normalize_similarity': False} - results: {'AUC': 0.35971502714254433, 'precision': 0.23076218552339167, 'recall': 0.08223046505806403, 'map': 0.1551859033681278, 'NDCG': 0.10752323019449947, 'MRR': 0.4086560386196728, 'F1': 0.12125321024728256, 'HR': 1.1538109276167035, 'ARHR': 0.559872444355372}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.36054266006468444, 'precision': 0.22159477947284692, 'recall': 0.07796547769107073, 'map': 0.15061287370690604, 'NDCG': 0.11171581729956487, 'MRR': 0.4057173454687563, 'F1': 0.11534736282453018, 'HR': 1.1079738973639772, 'ARHR': 0.5492978238262636}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 1.1000000000000003, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.2705000143106566, 'precision': 0.15067689401528467, 'recall': 0.059630402940968226, 'map': 0.09985859879599715, 'NDCG': 0.07283328729521653, 'MRR': 0.292515527061461, 'F1': 0.08544566958980972, 'HR': 0.753384470076419, 'ARHR': 0.37772474884798973}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'alpha': 1.5000000000000004, 'beta': 0.30000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.38856292395317404, 'precision': 0.24459486533680297, 'recall': 0.08891636784912543, 'map': 0.16639396122134845, 'NDCG': 0.13192004198961557, 'MRR': 0.43992243624600624, 'F1': 0.13042131632291953, 'HR': 1.2229743266836486, 'ARHR': 0.6018057662401795}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.1, 'beta': 0.7000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.3476177528454374, 'precision': 0.22431952832083837, 'recall': 0.07805748233030074, 'map': 0.14889169934269456, 'NDCG': 0.10074987164483497, 'MRR': 0.3964135111670709, 'F1': 0.11581447663987134, 'HR': 1.1215976416039384, 'ARHR': 0.5402193823520702}
BayesianSearch: Config is suboptimal. Config: {'topK': 150, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.37612219391892937, 'precision': 0.2389879504279514, 'recall': 0.08264047069631854, 'map': 0.1629836206595391, 'NDCG': 0.12223820323615708, 'MRR': 0.42787978095154444, 'F1': 0.12281300666823448, 'HR': 1.194939752139443, 'ARHR': 0.5877131095146474}
BayesianSearch: Config is suboptimal. Config: {'topK': 50, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': True} - results: {'AUC': 0.3728903708367922, 'precision': 0.23470047797595997, 'recall': 0.08410258043927665, 'map': 0.159644443808457, 'NDCG': 0.1195392290019425, 'MRR': 0.42430879532898513, 'F1': 0.12383140818178842, 'HR': 1.1735023898795043, 'ARHR': 0.5783630040928184}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 0.1, 'beta': 0.1, 'normalize_similarity': False} - results: {'AUC': 0.340650848621885, 'precision': 0.2087266378545925, 'recall': 0.07076383950953843, 'map': 0.14031656760515207, 'NDCG': 0.10520902104829566, 'MRR': 0.38478848850853714, 'F1': 0.10569446545589904, 'HR': 1.0436331892727324, 'ARHR': 0.5160133852332874}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'alpha': 1.3000000000000003, 'beta': 0.30000000000000004, 'normalize_similarity': True} - results: {'AUC': 0.3876208057853224, 'precision': 0.24832422221593708, 'recall': 0.08784785087605365, 'map': 0.16927786046161214, 'NDCG': 0.1333234658313625, 'MRR': 0.4437941841494971, 'F1': 0.12978323298240318, 'HR': 1.2416211110793096, 'ARHR': 0.6099554461585094}
BayesianSearch: Best config is: Config {'topK': 500, 'alpha': 0.9000000000000001, 'beta': 0.5000000000000001, 'normalize_similarity': True}, map value is 0.1746
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 500, 'alpha': 0.9000000000000001, 'beta': 0.5000000000000001, 'normalize_similarity': True} - results: {'AUC': 0.38963860824102947, 'precision': 0.2581184349867744, 'recall': 0.09131054863984443, 'map': 0.1765566654264565, 'NDCG': 0.13634048757195225, 'MRR': 0.45102416592725925, 'F1': 0.13489971935404702, 'HR': 1.2905921749334555, 'ARHR': 0.627999036415811}
