GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0013
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0666
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0470
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0007
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0486
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0007
