GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0357
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0364
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0364
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0560
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0560
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0560
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0560
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0591
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0591
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0591
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0591
GridSearch: New best config found. Config {'num_factors': 1, 'epochs': 30, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 1, 'epochs': 40, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0592
