GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1095
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.1006
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.1107
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.1028
GridSearch: New best config found. Config {'topK': 100, 'alpha': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.1109
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.1068
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.0, 'normalize_similarity': True}, map value is 0.1109
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.0, 'normalize_similarity': False}, map value is 0.1089
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.1105
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0680
GridSearch: New best config found. Config {'topK': 100, 'alpha': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.1114
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0446
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.1107
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.3000000000000003, 'normalize_similarity': False}, map value is 0.0233
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.4000000000000001, 'normalize_similarity': True}, map value is 0.1092
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.4000000000000001, 'normalize_similarity': False}, map value is 0.0177
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.5000000000000002, 'normalize_similarity': True}, map value is 0.1072
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.5000000000000002, 'normalize_similarity': False}, map value is 0.0140
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.6000000000000001, 'normalize_similarity': True}, map value is 0.1042
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.6000000000000001, 'normalize_similarity': False}, map value is 0.0116
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.7000000000000002, 'normalize_similarity': True}, map value is 0.1024
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.7000000000000002, 'normalize_similarity': False}, map value is 0.0098
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.8000000000000003, 'normalize_similarity': True}, map value is 0.0963
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.8000000000000003, 'normalize_similarity': False}, map value is 0.0086
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.9000000000000001, 'normalize_similarity': True}, map value is 0.0938
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 1.9000000000000001, 'normalize_similarity': False}, map value is 0.0077
GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 2.0, 'normalize_similarity': True}, map value is 0.0902
